,0
0,NA1_4298186744
1,NA1_4294494741
2,NA1_4297575588
3,NA1_4297681455
4,NA1_4295572970
5,NA1_4295246716
6,NA1_4297874954
7,NA1_4290156562
8,NA1_4286274683
9,NA1_4293215233
10,NA1_4298317719
11,NA1_4298115729
12,NA1_4296438247
13,NA1_4297597387
14,NA1_4295183192
15,NA1_4289153182
16,NA1_4288264541
17,NA1_4296369736
18,NA1_4290031775
19,NA1_4296682757
20,NA1_4291983253
21,NA1_4293284946
22,NA1_4297909305
23,NA1_4297735300
24,NA1_4296884890
25,NA1_4288084300
26,NA1_4295990598
27,NA1_4297923216
28,NA1_4296128388
29,NA1_4298157802
30,NA1_4295282402
31,NA1_4293185294
32,NA1_4289613978
33,NA1_4298101419
34,NA1_4293532751
35,NA1_4295338446
36,NA1_4298262320
37,NA1_4295220474
38,NA1_4297054313
39,NA1_4287537865
40,NA1_4297614814
41,NA1_4295659788
42,NA1_4296384100
43,NA1_4292885325
44,NA1_4295078287
45,NA1_4294625714
46,NA1_4295651142
47,NA1_4297462509
48,NA1_4287882303
49,NA1_4294371962
50,NA1_4284142259
51,NA1_4295515462
52,NA1_4290463907
53,NA1_4295751587
54,NA1_4297954703
55,NA1_4288209754
56,NA1_4295802432
57,NA1_4293690398
58,NA1_4297660853
59,NA1_4293658274
60,NA1_4296465878
61,NA1_4298018963
62,NA1_4298188922
63,NA1_4296429221
64,NA1_4298136012
65,NA1_4295604174
66,NA1_4296338038
67,NA1_4294740867
68,NA1_4297532695
69,NA1_4291629168
70,NA1_4295691088
71,NA1_4292636732
72,NA1_4292117743
73,NA1_4293428228
74,NA1_4293391258
75,NA1_4297995177
76,NA1_4292676564
77,NA1_4295165988
78,NA1_4292634492
79,NA1_4297056999
80,NA1_4288655204
81,NA1_4290936296
82,NA1_4296958170
83,NA1_4293076297
84,NA1_4296657346
85,NA1_4294942847
86,NA1_4286924894
87,NA1_4293018877
88,NA1_4298340965
89,NA1_4294318772
90,NA1_4296789352
91,NA1_4298013972
92,NA1_4291704733
93,NA1_4296379316
94,NA1_4296657041
95,NA1_4288007000
96,NA1_4296961949
97,NA1_4297226087
98,NA1_4298382336
99,NA1_4297282609
100,NA1_4293427155
101,NA1_4295872451
102,NA1_4296152917
103,NA1_4287458045
104,NA1_4298258226
105,NA1_4297003142
106,NA1_4297161807
107,NA1_4295526825
108,NA1_4295334444
109,NA1_4298371195
110,NA1_4298117911
111,NA1_4291142644
112,NA1_4295439880
113,NA1_4293860407
114,NA1_4289791877
115,NA1_4297591912
116,NA1_4296456410
117,NA1_4288194099
118,NA1_4292726544
119,NA1_4285810031
120,NA1_4296950699
121,NA1_4296332764
